question,yes_count,yes_rate_pct
q1_external_payment,6420,6.4
q2_deadline_pressure,5092,5.08
q3_guilt_language,15051,15.01
q4_defensive_language,1790,1.79
q5_impersonation_no_consent,796,0.79
q6_tragedy_exploitation,2332,2.33
q7_allocation_overpromise,3218,3.21
q8_fake_credential,1190,1.19
q9_external_verification,3365,3.36
q10_multi_channel,8421,8.4

n_yes,campaigns,pct
0,69165,68.99
1,19816,19.77
2,7306,7.29
3,2864,2.86
4,896,0.89
5,160,0.16
6,37,0.04
7,7,0.01

threshold,campaigns_firing,pct
>=1,31086,31.01
>=2,11270,11.24
>=3,3964,3.95
>=4,1100,1.1
>=5,204,0.2
>=6,44,0.04
